370, Current Cost:240.27532738320872, Best Cost:240.27532738320872
371, Current Cost:240.27532738320872, Best Cost:240.27532738320872
372, Current Cost:240.27532738320872, Best Cost:240.27532738320872
373, Current Cost:240.27532738320872, Best Cost:240.27532738320872
374, Current Cost:247.60378451014972, Best Cost:240.27532738320872
375, Current Cost:270.16560227349623, Best Cost:240.27532738320872
376, Current Cost:240.27532738320872, Best Cost:240.27532738320872
377, Current Cost:240.27532738320872, Best Cost:240.27532738320872
378, Current Cost:240.27532738320872, Best Cost:240.27532738320872
379, Current Cost:247.60378451014972, Best Cost:240.27532738320872
380, Current Cost:240.27532738320872, Best Cost:240.27532738320872
381, Current Cost:270.16560227349623, Best Cost:240.27532738320872
382, Current Cost:247.60378451014972, Best Cost:240.27532738320872
383, Current Cost:270.16560227349623, Best Cost:240.27532738320872
384, Current Cost:247.60378451014972, Best Cost:240.27532738320872
385, Current Cost:270.16560227349623, Best Cost:240.27532738320872
386, Current Cost:247.60378451014972, Best Cost:240.27532738320872
387, Current Cost:247.60378451014972, Best Cost:240.27532738320872
388, Current Cost:240.27532738320872, Best Cost:240.27532738320872
389, Current Cost:270.1656022734962, Best Cost:240.27532738320872
390, Current Cost:270.16560227349623, Best Cost:240.27532738320872
391, Current Cost:270.16560227349623, Best Cost:240.27532738320872
392, Current Cost:240.27532738320872, Best Cost:240.27532738320872
393, Current Cost:240.27532738320872, Best Cost:240.27532738320872
394, Current Cost:270.16560227349623, Best Cost:240.27532738320872
395, Current Cost:270.16560227349623, Best Cost:240.27532738320872
396, Current Cost:270.16560227349623, Best Cost:240.27532738320872
397, Current Cost:270.16560227349623, Best Cost:240.27532738320872
398, Current Cost:270.16560227349623, Best Cost:240.27532738320872
399, Current Cost:270.16560227349623, Best Cost:240.27532738320872
400, Current Cost:240.27532738320872, Best Cost:240.27532738320872
401, Current Cost:270.16560227349623, Best Cost:240.27532738320872
402, Current Cost:270.16560227349623, Best Cost:240.27532738320872
403, Current Cost:270.1656022734962, Best Cost:240.27532738320872
404, Current Cost:240.27532738320872, Best Cost:240.27532738320872
405, Current Cost:247.60378451014972, Best Cost:240.27532738320872
406, Current Cost:270.16560227349623, Best Cost:240.27532738320872
407, Current Cost:270.16560227349623, Best Cost:240.27532738320872
408, Current Cost:270.16560227349623, Best Cost:240.27532738320872
409, Current Cost:270.16560227349623, Best Cost:240.27532738320872
410, Current Cost:270.16560227349623, Best Cost:240.27532738320872
411, Current Cost:247.60378451014972, Best Cost:240.27532738320872
412, Current Cost:270.1656022734962, Best Cost:240.27532738320872
413, Current Cost:240.27532738320872, Best Cost:240.27532738320872
414, Current Cost:240.27532738320872, Best Cost:240.27532738320872
415, Current Cost:247.60378451014972, Best Cost:240.27532738320872
416, Current Cost:247.60378451014972, Best Cost:240.27532738320872
417, Current Cost:247.60378451014972, Best Cost:240.27532738320872
418, Current Cost:247.60378451014972, Best Cost:240.27532738320872
419, Current Cost:240.27532738320872, Best Cost:240.27532738320872
420, Current Cost:270.16560227349623, Best Cost:240.27532738320872
421, Current Cost:270.16560227349623, Best Cost:240.27532738320872
422, Current Cost:247.60378451014972, Best Cost:240.27532738320872
423, Current Cost:247.60378451014972, Best Cost:240.27532738320872
424, Current Cost:240.27532738320872, Best Cost:240.27532738320872
425, Current Cost:270.16560227349623, Best Cost:240.27532738320872
426, Current Cost:270.1656022734962, Best Cost:240.27532738320872
427, Current Cost:240.27532738320872, Best Cost:240.27532738320872
428, Current Cost:270.1656022734962, Best Cost:240.27532738320872
429, Current Cost:240.27532738320872, Best Cost:240.27532738320872
430, Current Cost:240.27532738320872, Best Cost:240.27532738320872
431, Current Cost:240.27532738320872, Best Cost:240.27532738320872
432, Current Cost:247.60378451014972, Best Cost:240.27532738320872
433, Current Cost:247.60378451014972, Best Cost:240.27532738320872
434, Current Cost:270.1656022734962, Best Cost:240.27532738320872
435, Current Cost:240.27532738320872, Best Cost:240.27532738320872
436, Current Cost:270.1656022734962, Best Cost:240.27532738320872
437, Current Cost:270.16560227349623, Best Cost:240.27532738320872
438, Current Cost:247.60378451014972, Best Cost:240.27532738320872
439, Current Cost:240.27532738320872, Best Cost:240.27532738320872
440, Current Cost:240.27532738320872, Best Cost:240.27532738320872
441, Current Cost:240.27532738320872, Best Cost:240.27532738320872
442, Current Cost:240.27532738320872, Best Cost:240.27532738320872
443, Current Cost:240.27532738320872, Best Cost:240.27532738320872
444, Current Cost:247.60378451014972, Best Cost:240.27532738320872
445, Current Cost:247.60378451014972, Best Cost:240.27532738320872
446, Current Cost:270.1656022734962, Best Cost:240.27532738320872
447, Current Cost:270.16560227349623, Best Cost:240.27532738320872
448, Current Cost:270.16560227349623, Best Cost:240.27532738320872
449, Current Cost:270.16560227349623, Best Cost:240.27532738320872
450, Current Cost:270.16560227349623, Best Cost:240.27532738320872
451, Current Cost:270.16560227349623, Best Cost:240.27532738320872
452, Current Cost:270.16560227349623, Best Cost:240.27532738320872
453, Current Cost:270.16560227349623, Best Cost:240.27532738320872
454, Current Cost:270.16560227349623, Best Cost:240.27532738320872
455, Current Cost:270.16560227349623, Best Cost:240.27532738320872
456, Current Cost:247.60378451014972, Best Cost:240.27532738320872
457, Current Cost:247.60378451014972, Best Cost:240.27532738320872
458, Current Cost:270.16560227349623, Best Cost:240.27532738320872
459, Current Cost:270.16560227349623, Best Cost:240.27532738320872
460, Current Cost:247.60378451014972, Best Cost:240.27532738320872
461, Current Cost:240.27532738320872, Best Cost:240.27532738320872
462, Current Cost:247.60378451014972, Best Cost:240.27532738320872
463, Current Cost:270.1656022734962, Best Cost:240.27532738320872
464, Current Cost:270.16560227349623, Best Cost:240.27532738320872
465, Current Cost:240.27532738320872, Best Cost:240.27532738320872
